epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9288.29,1.04078,0.68518,1.11272,0.97641,0.7953,0.89437,0.64921,0.85909,0.5036,0.92799,0.000990365,0.000990365,0.000990365
43,9492.97,1.05922,0.65417,1.09468,0.98274,0.84355,0.8961,0.62085,0.85393,0.52055,0.93025,0.000973861,0.000973861,0.000973861
44,9698.05,1.04085,0.65077,1.08999,0.971,0.83306,0.89255,0.62034,0.91488,0.50929,0.93869,0.000957358,0.000957358,0.000957358
45,9908.66,1.06047,0.66138,1.09566,0.93857,0.8378,0.89213,0.64413,0.79949,0.48849,0.91966,0.000940855,0.000940855,0.000940855
46,10115.7,1.00504,0.64809,1.09014,0.95551,0.85515,0.89303,0.64498,0.84694,0.49943,0.92602,0.000924352,0.000924352,0.000924352
47,10334.6,1.01225,0.66135,1.09116,0.92446,0.8186,0.86012,0.59921,0.9251,0.52541,0.95263,0.000907848,0.000907848,0.000907848
48,10554.8,1.02278,0.6526,1.09121,0.97262,0.8558,0.90073,0.65334,0.76692,0.49002,0.90262,0.000891345,0.000891345,0.000891345
49,10769.7,0.96038,0.63403,1.07003,0.93507,0.85488,0.89277,0.6691,0.74913,0.47321,0.90305,0.000874842,0.000874842,0.000874842
50,10981.4,0.97159,0.62966,1.08205,0.9576,0.86414,0.89589,0.66254,0.82048,0.48628,0.91088,0.000858338,0.000858338,0.000858338
51,11192.5,0.99274,0.60823,1.06859,0.94987,0.86044,0.9015,0.65226,0.74436,0.47227,0.88724,0.000841835,0.000841835,0.000841835
52,11400.7,0.942,0.60076,1.0489,0.99064,0.86792,0.90471,0.67038,0.70118,0.47003,0.88137,0.000825332,0.000825332,0.000825332
53,11610.3,0.95617,0.62103,1.05981,0.97856,0.8558,0.89895,0.67427,0.69561,0.45125,0.89349,0.000808828,0.000808828,0.000808828
54,11823.1,0.94406,0.59472,1.05935,0.9265,0.84071,0.88419,0.62749,0.81045,0.49049,0.91533,0.000792325,0.000792325,0.000792325
55,12027.3,0.96636,0.59444,1.06686,0.97717,0.87887,0.90771,0.67769,0.75763,0.45453,0.89198,0.000775822,0.000775822,0.000775822
56,12233.7,0.95909,0.59965,1.04598,0.95727,0.89361,0.90462,0.68296,0.70413,0.46292,0.88828,0.000759318,0.000759318,0.000759318
57,12441.9,0.95602,0.60721,1.05004,0.98776,0.86284,0.90155,0.67593,0.71519,0.4374,0.88133,0.000742815,0.000742815,0.000742815
58,12652.7,0.91629,0.60092,1.01948,0.97266,0.8828,0.90377,0.67347,0.70314,0.4516,0.88881,0.000726312,0.000726312,0.000726312
59,12865.1,0.91998,0.56897,1.03057,0.99199,0.87833,0.90794,0.6941,0.7126,0.42995,0.8922,0.000709809,0.000709809,0.000709809
60,13149.8,0.95182,0.58917,1.05162,0.97239,0.8785,0.90423,0.69308,0.70575,0.43298,0.87837,0.000693305,0.000693305,0.000693305
61,13365.8,0.91965,0.57647,1.04623,0.97357,0.86973,0.90744,0.69196,0.68109,0.43167,0.87097,0.000676802,0.000676802,0.000676802
62,13580.7,0.90483,0.55647,1.04378,0.9325,0.86941,0.89637,0.70982,0.63057,0.41218,0.86807,0.000660299,0.000660299,0.000660299
63,13788.3,0.90852,0.56211,1.03883,1,0.87476,0.91042,0.71738,0.64741,0.40694,0.88436,0.000643795,0.000643795,0.000643795
64,13997.8,0.90169,0.55569,1.04361,0.98474,0.87287,0.90749,0.69432,0.69119,0.41764,0.87649,0.000627292,0.000627292,0.000627292
65,14211.6,0.90751,0.56167,1.03946,0.98916,0.86349,0.91283,0.71652,0.65674,0.41639,0.86713,0.000610789,0.000610789,0.000610789
66,14426.5,0.87673,0.5508,1.01269,0.95422,0.88604,0.90929,0.67734,0.70979,0.42135,0.86877,0.000594286,0.000594286,0.000594286
67,14644.1,0.90477,0.5642,1.03559,0.96123,0.86414,0.90508,0.70668,0.65916,0.41267,0.87942,0.000577782,0.000577782,0.000577782
68,14858.5,0.94137,0.55773,1.0371,0.96061,0.86419,0.90558,0.69679,0.67159,0.41006,0.87021,0.000561279,0.000561279,0.000561279
69,15074.3,0.8869,0.54535,1.02968,0.99259,0.88676,0.91135,0.71151,0.65477,0.41437,0.86744,0.000544776,0.000544776,0.000544776
70,15287.7,0.8558,0.52914,1.01754,0.991,0.8772,0.90762,0.70823,0.65324,0.39073,0.86434,0.000528272,0.000528272,0.000528272
71,15489.7,0.8715,0.54261,1.01801,0.99887,0.87561,0.90809,0.72246,0.61619,0.39499,0.85321,0.000511769,0.000511769,0.000511769
72,15706,0.83761,0.52162,1.01045,0.98652,0.88399,0.91095,0.72746,0.6182,0.40138,0.86145,0.000495266,0.000495266,0.000495266
73,15913.7,0.87079,0.53945,1.02295,0.98117,0.89361,0.91498,0.724,0.62899,0.3886,0.85537,0.000478762,0.000478762,0.000478762
74,16129.4,0.84684,0.51682,1.00399,0.97886,0.85844,0.90616,0.71198,0.64599,0.39069,0.85662,0.000462259,0.000462259,0.000462259
75,16335.8,0.84569,0.52189,0.99891,0.99042,0.89361,0.91397,0.70347,0.64905,0.39314,0.86293,0.000445756,0.000445756,0.000445756
76,16547.9,0.84179,0.51906,1.00488,0.98914,0.8851,0.91738,0.7206,0.62449,0.39578,0.85202,0.000429253,0.000429253,0.000429253
77,16756.7,0.83859,0.52629,0.99659,0.98974,0.85529,0.91005,0.73818,0.56796,0.37242,0.84102,0.000412749,0.000412749,0.000412749
78,16964.7,0.85312,0.53659,1.01,0.99626,0.89926,0.91518,0.73478,0.60161,0.38025,0.85456,0.000396246,0.000396246,0.000396246
79,17175.9,0.76982,0.47627,0.99245,0.992,0.90065,0.91513,0.71222,0.62449,0.3774,0.86013,0.000379743,0.000379743,0.000379743
80,17384.3,0.8284,0.50491,1.01049,0.98585,0.88811,0.91396,0.70931,0.64673,0.37728,0.86604,0.000363239,0.000363239,0.000363239
81,17589.3,0.84421,0.52096,0.99697,0.96875,0.88361,0.91248,0.72242,0.6236,0.37116,0.86639,0.000346736,0.000346736,0.000346736
82,17800.1,0.80398,0.49663,0.9876,0.98694,0.88997,0.92506,0.73892,0.58125,0.34597,0.84999,0.000330233,0.000330233,0.000330233
83,18004.9,0.82189,0.50185,0.99327,0.99264,0.90055,0.91624,0.73368,0.59721,0.3608,0.85321,0.000313729,0.000313729,0.000313729
84,18212.7,0.79754,0.50166,0.98719,0.99419,0.88657,0.91524,0.74793,0.59345,0.35803,0.85266,0.000297226,0.000297226,0.000297226
85,18420,0.78423,0.49001,0.97574,1,0.86734,0.91455,0.73332,0.59836,0.35597,0.85947,0.000280723,0.000280723,0.000280723
86,18629.9,0.77796,0.49493,0.99729,0.97256,0.88837,0.90858,0.73409,0.60296,0.36103,0.85681,0.00026422,0.00026422,0.00026422
87,18840.8,0.82624,0.50667,0.9919,0.9966,0.89675,0.91517,0.7304,0.58765,0.35365,0.85731,0.000247716,0.000247716,0.000247716
88,19049.7,0.74876,0.48613,0.98074,0.98831,0.90065,0.92031,0.74284,0.58392,0.35527,0.85787,0.000231213,0.000231213,0.000231213
89,19257.4,0.79791,0.49558,0.99551,0.99017,0.8929,0.91545,0.73553,0.58683,0.35871,0.85504,0.00021471,0.00021471,0.00021471
90,19466.8,0.76708,0.49233,0.96863,0.99354,0.87691,0.91571,0.73952,0.56778,0.34284,0.84354,0.000198206,0.000198206,0.000198206
91,19669.9,0.75599,0.45283,0.96122,0.99045,0.87822,0.91886,0.75017,0.55693,0.34915,0.83741,0.000181703,0.000181703,0.000181703
92,19870,0.75092,0.4617,0.96941,0.97859,0.88681,0.91538,0.74413,0.58667,0.34107,0.84792,0.0001652,0.0001652,0.0001652
93,20084.8,0.74002,0.43973,0.95354,1,0.87534,0.92006,0.74652,0.55431,0.33578,0.84025,0.000148696,0.000148696,0.000148696
94,20295.7,0.72173,0.42805,0.95767,0.99736,0.87741,0.91553,0.74518,0.57077,0.34137,0.84231,0.000132193,0.000132193,0.000132193
95,20509.6,0.73426,0.43985,0.95043,0.95731,0.89361,0.91797,0.74469,0.53026,0.3346,0.83798,0.00011569,0.00011569,0.00011569
96,20714.3,0.71661,0.42693,0.94787,0.95885,0.88124,0.91464,0.7518,0.55396,0.33307,0.83787,9.91865e-05,9.91865e-05,9.91865e-05
97,20926.5,0.72293,0.43612,0.94617,0.97023,0.87824,0.91584,0.75868,0.54141,0.32932,0.83742,8.26832e-05,8.26832e-05,8.26832e-05
98,21130.7,0.72431,0.43253,0.94967,0.99045,0.87896,0.91718,0.75733,0.52485,0.32377,0.83364,6.61799e-05,6.61799e-05,6.61799e-05
99,21340.3,0.70772,0.41697,0.94884,0.98707,0.89002,0.92305,0.76425,0.53143,0.32198,0.83641,4.96766e-05,4.96766e-05,4.96766e-05
100,21542,0.69507,0.41499,0.93499,0.98366,0.89868,0.91776,0.75754,0.52539,0.32409,0.83182,3.31733e-05,3.31733e-05,3.31733e-05
